description,theme
"""Efficient and adequate safety assessment remains one of the main challenges in the drug discovery, development and submission process. Recent advances have shown that sharing of public & private pre-clinical data is achievable. In parallel, the electronic CDISC-SEND format has been chosen for file submission to the FDA. This offers the opportunity to generate and exploit a large amount of organised data to allow the in-depth assessment of the preclinical species predictivity to human.The NexGETS project will:The NexGETS project should aim to set world standards and act as the central partner to go to in terms of preclinical data handling, analysis and use for predictive toxicologyThis approach will have an impact on the 3RsThe same cause has also an incidence on the attrition rate which should logically equally improve overall.This approach should also reduce the length of development before reaching patients.""","""theme"""
"""The central challenge to be addressed is to establish and validate non-invasive markers for classifying and evaluating subjects with NAFLD, and in particular to identify amongst those with NAFLD, individuals who have Nonalcoholic steatohepatitis (NASH). Identifying and validating these biomarkers will be crucial in furthering an understanding of the factors that drive the heterogeneity of NAFLD and in enabling accurate diagnosis of those with NASH. The ultimate challenge that will be addressed is to validate one or more NAFLD biomarkers that can serve as surrogates for development of clinically meaningful outcomes.The scope of this proposed biomarker collaborative research for NAFLD and NASH will encompass development of diagnostic and staging biomarkers that can separate NASH from NAFLD, and more specifically, identify the presence and severity of inflammation and fibrosis. This will serve to help identify the most appropriate population for a particular treatment. Secondly, development of biomarkers that can predict progression. It is recognized that in general, NASH progresses slowly toward End-Stage Liver Disease (ESLD). However, there do appear to be subgroups that progress fairly rapidly. Accordingly, there is a need to qualify biomarkers that can identify “fast progressors” amongst those who meet criteria for a diagnosis of NASH. Finally, the ultimate goal of this biomarker research is to provide evidence supporting the regulatory acceptance of non-invasive biomarkers as surrogates for clinically important endpoints. It will be a long-term goal of this collaborative research to validate biomarkers that reliably identify and predict risk for cirrhosis and complications of ESLD (e.g. varices, ascites) and that reliably identify and predict risk for hepatocellular carcinoma (HCC). It is expected that this program to identify and qualify non-invasive biomarkers for NAFLD and NASH will be transformative for clinical management of patients and profoundly enabling for drug development for treatment of NASH. Accurate diagnosis and effective treatment are the twin pillars that support medical practice and the unmet need that is present with regard to NAFLD and NASH cannot be effectively addressed without the elucidation of validated biomarkers.""","""theme"""
"""A strengthened capacity in Europe to monitor the effectiveness of the yearly seasonal influenza vaccines across age, risk groups and vaccines is needed. National public health bodies have a role in assessing national vaccination programmes, and vaccine manufacturers are accountable for the quality and integrity of vaccine product-specific data presented to regulatory authorities. Collaboration and partnership amongst public health institutes, regulatory bodies and vaccine manufacturers is therefore necessary to build a strong platform to perform influenza effectiveness assessmentsThe scope of the action includes the development and validation of a sustainable governance model for the evaluation of type/brand-specific seasonal influenza vaccine effectiveness in Europe, through collaboration between public and private partners. Furthermore, the scope of the action is to build an EU/EEA-wide recognised and accepted platform for influenza vaccine effectiveness studies, including the development of tools for communication and dissemination of the results obtained from the studies.It is expected that the action will result in better information for healthcare professionals and the general public about the performance of the influenza vaccines in use, better information on the performance of national immunization programmes, improved understanding of the benefits of influenza vaccination, and better understanding of the factors that impact influenza vaccine effectiveness. The action will likely positively influence societal acceptance of influenza vaccines, result in improved vaccine coverage in the EU and ultimately reduced disease burden.If successful, the model could be expanded to evaluation of all other vaccines used in national/sub-national immunisation programmes. ""","""theme"""
"""ObjectivesFrontier research often generates unexpected or new opportunities for commercial or societal application. The ERC Proof of Concept Grants aim to maximise the value of the excellent research that the ERC funds, by funding further work (i.e. activities which were not scheduled to be funded by the original ERC frontier research grant) to verify the innovation potential of ideas arising from ERC funded projects. Proof of Concept Grants are therefore on offer only to Principal Investigators whose proposals draw substantially on their ERC funded research.Ethical PrinciplesAll proposals will be subject to ethics review as with proposals for the ERC's frontier research grants.Eligibility CriteriaEligible Principal InvestigatorAll Principal Investigators in an ERC frontier research project, that is either on going or has ended [1] less than 12 months before the opening date of this call, are eligible to participate and apply for an ERC Proof of Concept Grant.A Principal Investigator whose proposal was rejected on the grounds of a breach of research integrity in the calls for proposals under Work Programmes 2014 or 2015 may not submit a proposal to the calls for proposals made under Work Programme 2016.Eligible projectsAll proposals must be complete and be submitted before the relevant call deadline. Incomplete proposals may be declared ineligible.The content of the proposal must relate to the objectives and to the grant type set out in the call, as defined in this work programme. A proposal will only be deemed ineligible on grounds of ‘scope’ in clear-cut cases.Where there is a doubt on the eligibility of a proposal, the peer review evaluation may proceed pending a decision following an eligibility review committee. If it becomes clear before, during or after the peer review evaluation phase, that one or more of the eligibility criteria has not been met, the proposal will be declared ineligible and not considered any further.Applicants will need to demonstrate the relation between the idea to be taken to proof of concept and the ERC frontier research project (Starting, Consolidator, Advanced or Synergy) in question.More than one Proof of Concept Grant may be awarded per ERC funded frontier research project but only one Proof of Concept project may be running at any one time for the same ERC frontier research project [2].Eligible Host InstitutionThe host institution (Applicant Legal Entity [3]) must engage the Principal Investigator for at least the duration of the proof of concept project as defined in the grant agreement and must be established in a Member State or an Associated Country[4].Please also refer to Annex 3 - Countries Associated to Horizon 2020 and Restrictions Applying to Some Legal Entities Established in Certain Third Countries.Maximum size of grant and grant assessmentThe financial contribution will be up to a maximum of EUR 150 000 for a period of 18 months. The ERC expects that normally, proof of concept projects should be completed within 12 months. However, to allow for those projects that require more preparation time, projects will be signed for 18 months. Given this initial flexibility, extensions of the duration of proof of concept projects may be granted only exceptionally.The overall level of the funding offered will be assessed during the evaluation. The funding requested by the applicant will be judged against the needs of the proposed activity before award. The funding requested by the Principal Investigator must be fully justified by an estimation of the actual costs for the proposed activities.The Union financial contribution will take the form of the reimbursement of up to 100% of the total eligible and approved direct costs and of flat-rate financing of indirect costs on the basis of 25% of the total eligible direct costs [5]. The level of the awarded grant represents a maximum overall figure – the final amount to be paid must be justified on the basis of the costs actually incurred for the project.The indicative budget for this call for 2016 is EUR 20 000 000 (approximately one-third of which will be for each of the three evaluation rounds following three specific deadlines - proposals submitted before each cut-off date will be evaluated with the proposals submitted before the same cut-off date).[1]Where the duration of the project fixed in the ERC Grant Agreement has ended.[2]This limit also applies to Synergy projects.[3]Please see important information for Principal Investigators, Candidates, Tenderers and Grant Applicants on possible registration of legal entities in the Commission's Early Warning System (EWS) and Central Exclusion Database (CED) on final page.[4]It may also be an International European Interest Organisation (such as CERN, EMBL, etc.), the European Commission's Joint Research Centre (JRC), or an entity created under EU law. Any type of legal entity, public or private, including universities, research organisations as well as undertakings can host the Principal Investigator and his/her team.[5]Excluding the direct costs for subcontracting and the costs of resources made available by third parties which are not used on the premises of the host institution.""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""""","""theme"""
"""The prize aim at spurring the development of engine and powertrain technologies using conventional fuels to reduce emissions of pollutants in real driving conditions to the lowest level possible, in order to improve air quality issues in European cities.The prize will be awarded, after closure of the contest, to the contestants who in demonstrate a solution that best addresses the following cumulative criteria: demonstrate the reduction of emissions of NOx, particle numbers, CO, hydrocarbons in real driving down to the levels that will be defined in the prize regulation specifications and according to the weighting methodology defined therein, while ensuring low levels of undesired non-regulated pollutants.Performance will have to be demonstrated by providing a complete vehicle for real drive testing. . This will allow verification that such retrofitted vehicles will have much lower noxious emissions in real driving than equivalent vehicles currently on the road. The implementation of the technology will extend the life of retrofitted vehicles while greatly reducing their impact on the urban environment and could allow city authorities to consider measures to encourage their use to solve air quality issues.""","""theme"""
"""The demand for forest-based biomass for various applications is increasing. The markets of forest-based products are very competitive, with other regions (namely North and South America) leading in production efficiency. The European forest-based sector could improve its competitiveness by increasing the sustainable mobilisation of forest resources through better forest infrastructure, suitable machinery, consolidated ownerships and better management of undeveloped wood markets. Also, Europe needs a continued maintenance of forests, which yields benefits in terms of prevention of landslides, improved fire risk management, higher carbon capture by trees and other ecosystem services. A sustainable increase of the productivity of its forests will increase the value of forest land itself.The need to increase the resilience of forests to climate change is a common issue all over Europe where rising temperatures and changing rainfall patterns are projected to affect the composition of forests. The change in forest composition also bears consequences on the local ecosystem and biodiversity, as well as on the role of forests as carbon sinks.Increasing forest mobilisation and adapt forests to climate changes are crucial to avoid their degradation and to harness possible changes in their composition and vertical structure. These are needed to retain their economic value and to maintain the sustainability of value chains based on forest-based biomass. Furthermore, increasing the resource, energy and process efficiency of wood processing within forest-based sectors, could enlarge the suitability of the various kinds of forest biomass with a wider range of marketable products. Building on ongoing activities in the field of adapting forests to projected changes in climate, proposals need to demonstrate the techno-economic viability in forest-based value chains of breeding of varieties of current tree species as well as prospecting for new ones. This will require the plantation of several hectares of land. Proposals could also address the composition of forests by creating mixed forests with the introduction of allogeneic species. Forest owners should be involved in proposals.Proposals should demonstrate the whole value chain based on the innovations introduced. Specifically, by introducing new tree varieties, the validation should show the economic benefits of increased sustainability and the suitability of the new forest-based biomass for downstream processing. The latter should ideally lead to the development of new products with higher added-value than existing comparable products. The associated business model should include the upscaling of the selected approach to commercial levels.Proposals should assess the impact of the proposed forest management innovations on the ecosystem, ensuring that the local biodiversity are not disturbed and the protection role of forests maintained as well.Proposals should include field validation of the proposed approach on a representative surface (several hectares). Proposals should build on proven achievements at lab or pilot scale. Proposals should seek complementarity to the projects funded under topic H2020 SPIRE-03-2016 and BB-03-07 to avoid overlaps and promote synergies.Proposals should achieve technology demonstrated in an industrial environment, or a system prototype demonstration in operational environment. Proposals need to address the whole value chain, from feedstock sourcing to market applications (Technology Readiness Levels 6-7).Proposals should also include a Life Cycle Assessment (LCA) in order to evaluate the environmental and socio-economic performance of the whole value chain.It is considered that proposals with a total eligible budget of up to EUR 15 million would allow this specific challenge to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals with another budget.""","""theme"""
"""A strong bioeconomy requires a diverse biomass feedstock for the bio-based value chains. The bio-based industries are looking into diversification of their feedstock base by adding new sources. Dedicated, purposely grown industrial crops and novel sources of biomass to deliver specific compounds for further processing into chemicals and materials, present an attractive route to high value applications.These new biomass feedstock sources from dedicated, purposely cultivated industrial crops and novel sources of biomass (cultures), promote the creation of new value chains, utilising the natural properties of the feedstock for new functionalities of the desired products.The challenge is to demonstrate the sustainability of these new value chains on a larger scale. This includes the upscaling of the processes using the technologies for dedicated biomass production, in order to provide for a sustainable supply of the new feedstock and the conversion into useable products for application in specific market segments.Demonstrating the benefits for the environment, the economy and the society will contribute to the market-uptake of the end-products and to an improvement of the competitive position of the European bioeconomy.Demonstrate the techno-economic viability and sustainability of complete value chains based on utilisation of dedicated, purposely developed biomass production systems as feedstock for the bio-based industries.Specifically, this topic focuses on non-food-conflicting biomass production systems:The sustainability of the entire value chain should include the ability to deliver products, meeting safety and quality requirements, at competitive price level versus those from existing value chains.A sound business model should include the role of all actors in the value chain, from the feedstock supplier to the actors on the end-market. Furthermore, the model should show that the value chain does not interfere with the food chain.Proposals should achieve technology demonstrated in an industrial environment, or a system prototype demonstration in operational environment. Proposals need to address the whole value chain, from feedstock sourcing to market applications (Technology Readiness Levels 6-7).Proposals should also include a Life Cycle Assessment (LCA) in order to evaluate the environmental and socio-economic performance of the whole value chain.It is considered that proposals with a total eligible budget of up to EUR 15 million would allow this specific challenge to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals with another budget.""","""theme"""
"""High costs of feedstock and energy in the EU require biorefineries to apply highly efficient processes to remain competitive. These include processes to handle and convert by- and co-products from different industrial and commercial activities. And they also include integrating own biorefining operations and maximising the use of intermediate- and side-streams, through recycling or next steps processing.The predominant component of side-streams from lignocellulosic biomass processing is lignin. Other co-products may vary in content according to the plant: crystalline cellulose, complex polymers and dead cells have also high content in streams from the fermentation stage in biorefineries; while soaps, terpenes and sulphur compounds are found in pulp mills’ black liquor (besides lignin). All these components represent, in various degrees, also potential sources of new feedstock for further valorisation.At lab and small pilot scale, there are many examples of valorisation of lignin-rich streams.The challenge is to demonstrate at a larger scale the feasibility and sustainability of valorisation of lignin-rich streams at the core of a full value chain in order to set the basis for a future market deployment of the obtained products.Demonstrate the techno-economic viability of the efficient valorisation of lignin-rich side-streams from biorefineries or from black liquor streams from the pulp and paper industries. Besides lignin, other streams – such as crystalline cellulose, complex polymers and dead cells from the different stages of biorefineries and soaps, terpenes and sulphur compounds from pulp and paper mills – could be addressed.In particular, applying the 'cascading use principle[1]' (valorisation of the side-streams) where possible, aiming at realising an integrated, zero-waste biorefinery operation by maximising conversion of different streams available and of the corresponding different materials and compounds. This includes the recovery and recycling of process chemicals, obviating or minimising the need for new input thereof.Proposals should encompass the whole value chain, proving innovative and efficient technologies and methods to improve sustainability. Proposals should also demonstrate replicability of the developed processes to different side-streams.Proposals should also include regulatory aspects and the market pull of the targeted chemicals and material, in order to match legislation requirements and those by costumers and end-users, with technical, environmental and economic aspects linked to the bio-based value chain. These aspects include safety, quality and purity of the products by actively building upon existing knowledge and standardisation activities.Proposals should achieve technology demonstrated in an industrial environment, or a system prototype demonstration in operational environment. Proposals need to address the whole value chain, from feedstock sourcing to market applications (Technology Readiness Levels 6-7).Proposals should also include a Life Cycle Assessment (LCA) in order to evaluate the environmental and socio-economic performance of the whole value chain.It is considered that proposals with a total eligible budget of up to EUR 15 million would allow this specific challenge to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals with another budget.[1]In the context of this topic the ‘cascading use principle’ means the valorisation of as many as possible fractions from the primary stream, in parallel or subsequent steps.""","""theme"""
